provider_id,provider_name,provider_type,state,avg_claim_amount,total_claims,fraud_rate,accreditation,years_active
PRV0354,Provider_354,Pharmacy,PA,3064.39,4861,0.0741,JCAHO,9
PRV0355,Provider_355,Pharmacy,PA,9776.07,3588,0.1105,JCAHO,22
PRV0356,Provider_356,Pharmacy,NC,10417.88,1923,0.0449,JCAHO,12
PRV0357,Provider_357,Pharmacy,IL,3373.42,367,0.0214,DNV,30
PRV0358,Provider_358,Clinic,MI,12670.41,1842,0.1002,None,9
PRV0359,Provider_359,Lab,PA,14487.84,3975,0.0688,DNV,18
PRV0360,Provider_360,Hospital,TX,12072.43,2941,0.043,None,16
PRV0361,Provider_361,Hospital,OH,6231.91,2130,0.0303,JCAHO,17
PRV0362,Provider_362,Lab,MI,5423.01,1272,0.089,DNV,5
PRV0363,Provider_363,Specialist,CA,13198.98,2524,0.0098,JCAHO,13
PRV0364,Provider_364,Specialist,OH,10197.08,1546,0.1444,None,29
PRV0365,Provider_365,Clinic,GA,7671.25,4345,0.1237,None,11
PRV0366,Provider_366,Clinic,OH,9957.13,4777,0.0977,JCAHO,1
PRV0367,Provider_367,Specialist,CA,13096.25,2687,0.0837,JCAHO,24
PRV0368,Provider_368,Specialist,FL,13270.5,1441,0.0993,JCAHO,15
PRV0369,Provider_369,Specialist,TX,1161.77,572,0.0502,None,25
PRV0370,Provider_370,Pharmacy,IL,8572.51,2290,0.0236,AAAHC,19
PRV0371,Provider_371,Clinic,IL,1928.68,2897,0.1386,None,1
PRV0372,Provider_372,Lab,FL,10709.18,4585,0.0312,AAAHC,15
PRV0373,Provider_373,Lab,NC,11457.52,3516,0.1373,AAAHC,14
PRV0374,Provider_374,Specialist,MI,1299.66,1094,0.1121,AAAHC,12
PRV0375,Provider_375,Lab,MI,2633.41,1263,0.1339,DNV,4
PRV0376,Provider_376,Pharmacy,TX,9716.96,34,0.1428,None,19
PRV0377,Provider_377,Specialist,OH,12501.04,1280,0.0763,DNV,27
PRV0378,Provider_378,Hospital,PA,723.25,1249,0.1497,None,11
PRV0379,Provider_379,Specialist,PA,9303.66,4636,0.0915,AAAHC,29
PRV0380,Provider_380,Hospital,MI,4136.86,3367,0.0025,DNV,22
PRV0381,Provider_381,Pharmacy,CA,4500.9,2620,0.0069,AAAHC,6
PRV0382,Provider_382,Lab,TX,975.0,783,0.0366,JCAHO,23
PRV0383,Provider_383,Hospital,PA,12608.93,1635,0.0684,None,21
PRV0384,Provider_384,Pharmacy,NY,651.01,485,0.1431,AAAHC,16
PRV0385,Provider_385,Lab,CA,3009.24,2433,0.0094,None,8
PRV0386,Provider_386,Pharmacy,OH,11823.36,4142,0.1411,None,8
PRV0387,Provider_387,Pharmacy,NC,2373.04,3168,0.0528,None,7
PRV0388,Provider_388,Clinic,OH,4986.3,4407,0.004,None,6
PRV0389,Provider_389,Lab,PA,1934.43,1937,0.0644,JCAHO,9
PRV0390,Provider_390,Clinic,GA,12738.27,1618,0.1027,JCAHO,30
PRV0391,Provider_391,Clinic,NY,14793.6,4156,0.0383,AAAHC,28
PRV0392,Provider_392,Clinic,MI,753.33,2494,0.0111,JCAHO,26
PRV0393,Provider_393,Pharmacy,TX,7592.57,2397,0.1087,None,15
PRV0394,Provider_394,Pharmacy,CA,11589.68,3460,0.0406,JCAHO,20
PRV0395,Provider_395,Specialist,PA,11735.55,1502,0.0441,DNV,19
PRV0396,Provider_396,Specialist,NY,11597.19,1670,0.019,DNV,12
PRV0397,Provider_397,Specialist,CA,2267.61,1177,0.0022,DNV,14
PRV0398,Provider_398,Pharmacy,PA,13041.41,3280,0.0015,DNV,24
PRV0399,Provider_399,Specialist,IL,14707.25,3174,0.1073,JCAHO,15
PRV0400,Provider_400,Clinic,PA,7255.29,2481,0.0539,AAAHC,22
PRV0401,Provider_401,Pharmacy,MI,7165.68,4438,0.0566,JCAHO,11
PRV0402,Provider_402,Pharmacy,GA,2725.25,4616,0.0453,DNV,15
PRV0403,Provider_403,Clinic,NY,2450.56,1855,0.0343,AAAHC,12
PRV0404,Provider_404,Lab,TX,6563.55,3321,0.0712,JCAHO,10
PRV0405,Provider_405,Pharmacy,NY,11686.22,1381,0.146,DNV,8
PRV0406,Provider_406,Hospital,MI,4282.19,3942,0.0681,None,22
PRV0407,Provider_407,Lab,CA,7195.4,559,0.1495,JCAHO,7
PRV0408,Provider_408,Lab,NC,2544.66,3812,0.0837,None,14
PRV0409,Provider_409,Hospital,OH,9192.23,4903,0.1467,JCAHO,6
PRV0410,Provider_410,Lab,IL,1951.19,2097,0.1148,AAAHC,16
PRV0411,Provider_411,Pharmacy,PA,625.53,244,0.0193,DNV,26
PRV0412,Provider_412,Clinic,IL,10350.7,4714,0.0241,JCAHO,19
PRV0413,Provider_413,Pharmacy,IL,5487.69,460,0.1391,DNV,2
PRV0414,Provider_414,Pharmacy,CA,1720.6,122,0.0423,DNV,17
PRV0415,Provider_415,Pharmacy,CA,8237.95,3008,0.0373,None,13
PRV0416,Provider_416,Pharmacy,FL,13972.39,3764,0.0281,JCAHO,26
PRV0417,Provider_417,Hospital,NY,1714.54,1802,0.0716,None,1
PRV0418,Provider_418,Lab,NY,13955.55,4236,0.0188,None,13
PRV0419,Provider_419,Clinic,PA,8541.51,3146,0.0456,JCAHO,8
PRV0420,Provider_420,Lab,GA,8784.12,3724,0.1143,JCAHO,3
PRV0421,Provider_421,Pharmacy,TX,14822.24,4426,0.0166,None,26
PRV0422,Provider_422,Clinic,TX,12844.45,2444,0.0297,DNV,18
PRV0423,Provider_423,Specialist,PA,5302.16,2935,0.0612,DNV,28
PRV0424,Provider_424,Hospital,IL,12806.28,3645,0.1351,DNV,25
PRV0425,Provider_425,Pharmacy,MI,8990.42,771,0.1442,DNV,30
PRV0426,Provider_426,Pharmacy,NY,5405.45,1927,0.1386,None,19
PRV0427,Provider_427,Hospital,IL,12000.64,4934,0.1302,None,20
PRV0428,Provider_428,Hospital,CA,1181.94,200,0.0876,None,12
PRV0429,Provider_429,Clinic,FL,7159.59,420,0.0303,JCAHO,17
PRV0430,Provider_430,Clinic,FL,9178.42,4369,0.003,None,30
PRV0431,Provider_431,Hospital,GA,13944.96,832,0.1357,JCAHO,5
PRV0432,Provider_432,Pharmacy,NC,4223.32,745,0.0522,DNV,6
PRV0433,Provider_433,Pharmacy,CA,6782.17,2154,0.0181,AAAHC,7
PRV0434,Provider_434,Pharmacy,CA,8975.17,1047,0.0623,JCAHO,5
PRV0435,Provider_435,Lab,FL,9997.09,4295,0.0117,AAAHC,19
PRV0436,Provider_436,Hospital,OH,14286.5,2330,0.0858,AAAHC,24
PRV0437,Provider_437,Clinic,PA,4997.17,958,0.1176,None,4
PRV0438,Provider_438,Pharmacy,NY,3689.31,4672,0.127,AAAHC,30
PRV0439,Provider_439,Specialist,FL,10818.05,3367,0.1315,None,11
PRV0440,Provider_440,Specialist,GA,14435.45,3942,0.0765,None,27
PRV0441,Provider_441,Pharmacy,FL,9640.76,138,0.0382,AAAHC,16
PRV0442,Provider_442,Specialist,MI,12908.28,714,0.1121,None,23
PRV0443,Provider_443,Pharmacy,TX,5918.38,3341,0.0774,DNV,8
PRV0444,Provider_444,Lab,GA,2590.39,133,0.0186,AAAHC,13
PRV0445,Provider_445,Lab,CA,7142.12,2449,0.1348,DNV,4
PRV0446,Provider_446,Pharmacy,NY,11021.42,1330,0.095,None,25
PRV0447,Provider_447,Pharmacy,FL,9694.89,2628,0.1318,DNV,7
PRV0448,Provider_448,Specialist,TX,11526.78,1730,0.059,AAAHC,11
PRV0449,Provider_449,Hospital,FL,10539.33,2961,0.1182,JCAHO,20
PRV0450,Provider_450,Hospital,PA,3177.43,3049,0.0021,DNV,9
PRV0451,Provider_451,Specialist,OH,12357.72,4343,0.1083,None,18
PRV0452,Provider_452,Pharmacy,MI,3574.12,1559,0.0202,AAAHC,14
PRV0453,Provider_453,Clinic,IL,6050.88,4981,0.0976,DNV,29
PRV0454,Provider_454,Hospital,FL,1731.83,3668,0.1355,DNV,12
PRV0455,Provider_455,Pharmacy,OH,9029.88,4975,0.0864,DNV,23
PRV0456,Provider_456,Clinic,IL,635.68,895,0.0698,DNV,28
PRV0457,Provider_457,Specialist,OH,3749.63,1592,0.0443,AAAHC,29
PRV0458,Provider_458,Lab,GA,11220.77,3520,0.0664,None,24
PRV0459,Provider_459,Specialist,FL,8135.82,862,0.0281,None,11
PRV0460,Provider_460,Clinic,NC,2299.64,81,0.0592,AAAHC,18
PRV0461,Provider_461,Pharmacy,NC,4027.15,3261,0.0644,AAAHC,17
PRV0462,Provider_462,Lab,PA,997.59,4745,0.0156,DNV,25
PRV0463,Provider_463,Clinic,NC,10940.3,4333,0.0479,AAAHC,3
PRV0464,Provider_464,Clinic,NC,4691.36,1337,0.0025,None,29
PRV0465,Provider_465,Clinic,CA,7775.95,4246,0.0895,None,13
PRV0466,Provider_466,Lab,CA,1447.15,3024,0.103,None,14
PRV0467,Provider_467,Specialist,CA,7791.82,4293,0.0539,JCAHO,15
PRV0468,Provider_468,Pharmacy,IL,7088.82,4865,0.14,AAAHC,30
PRV0469,Provider_469,Specialist,GA,5004.65,3585,0.0299,None,23
PRV0470,Provider_470,Lab,OH,5495.03,394,0.1344,None,6
PRV0471,Provider_471,Lab,TX,10895.98,4013,0.0756,JCAHO,20
PRV0472,Provider_472,Lab,FL,8882.58,641,0.0433,DNV,29
PRV0473,Provider_473,Lab,GA,9780.2,2935,0.1112,None,28
PRV0474,Provider_474,Clinic,NC,6785.6,4440,0.0644,DNV,4
PRV0475,Provider_475,Specialist,FL,11895.74,2844,0.0784,DNV,2
PRV0476,Provider_476,Specialist,MI,2369.53,4638,0.1402,JCAHO,19
PRV0477,Provider_477,Lab,TX,10242.0,1509,0.1457,AAAHC,3
PRV0478,Provider_478,Pharmacy,NC,1920.63,2229,0.061,DNV,18
PRV0479,Provider_479,Clinic,FL,12664.82,1930,0.0706,DNV,3
PRV0480,Provider_480,Clinic,TX,3358.6,2567,0.0363,None,10
PRV0481,Provider_481,Hospital,TX,12021.92,2994,0.043,AAAHC,8
PRV0482,Provider_482,Specialist,CA,1256.29,615,0.0242,AAAHC,20
PRV0483,Provider_483,Pharmacy,OH,6513.98,4002,0.0004,None,12
PRV0484,Provider_484,Pharmacy,IL,3471.39,1215,0.0586,None,17
PRV0485,Provider_485,Lab,NY,10964.2,412,0.0897,JCAHO,16
PRV0486,Provider_486,Pharmacy,OH,10186.24,1752,0.0249,JCAHO,17
PRV0487,Provider_487,Pharmacy,GA,14902.77,1674,0.1463,DNV,12
PRV0488,Provider_488,Lab,PA,1900.22,4790,0.0534,JCAHO,15
PRV0489,Provider_489,Hospital,IL,12069.31,2957,0.0413,None,22
PRV0490,Provider_490,Specialist,NC,14779.55,1547,0.0497,JCAHO,21
PRV0491,Provider_491,Lab,PA,2569.22,4250,0.1062,DNV,26
PRV0492,Provider_492,Hospital,NC,5124.69,2628,0.1343,JCAHO,29
PRV0493,Provider_493,Clinic,TX,3464.93,2185,0.0253,JCAHO,24
PRV0494,Provider_494,Pharmacy,TX,8070.49,3948,0.0306,DNV,17
PRV0495,Provider_495,Hospital,CA,4599.26,525,0.0686,AAAHC,7
PRV0496,Provider_496,Lab,GA,4786.76,3896,0.1297,None,23
PRV0497,Provider_497,Hospital,MI,7942.36,1662,0.0564,DNV,15
PRV0498,Provider_498,Hospital,IL,14724.76,290,0.099,JCAHO,15
PRV0499,Provider_499,Lab,MI,10929.8,4087,0.1026,DNV,8
PRV0500,Provider_500,Specialist,GA,4321.25,2205,0.1049,None,20
